agent_name,total_utilization,map_utilizations
Omen,85.0,"{'Lotus': 100.0, 'Haven': 100.0, 'Sunset': 100.0, 'Ascent': 97.0, 'Corrode': 96.0, 'Bind': 9.0, 'Icebox': 59.0, 'Abyss': 50.0}"
Sova,52.0,"{'Lotus': 0.0, 'Haven': 95.0, 'Sunset': 74.0, 'Ascent': 83.0, 'Corrode': 23.0, 'Bind': 0.0, 'Icebox': 86.0, 'Abyss': 100.0}"
Viper,50.0,"{'Lotus': 57.0, 'Haven': 53.0, 'Sunset': 26.0, 'Ascent': 3.0, 'Corrode': 69.0, 'Bind': 68.0, 'Icebox': 91.0, 'Abyss': 0.0}"
Neon,39.0,"{'Lotus': 20.0, 'Haven': 70.0, 'Sunset': 76.0, 'Ascent': 13.0, 'Corrode': 50.0, 'Bind': 14.0, 'Icebox': 9.0, 'Abyss': 50.0}"
Yoru,38.0,"{'Lotus': 50.0, 'Haven': 33.0, 'Sunset': 29.0, 'Ascent': 47.0, 'Corrode': 58.0, 'Bind': 36.0, 'Icebox': 0.0, 'Abyss': 50.0}"
Fade,37.0,"{'Lotus': 82.0, 'Haven': 0.0, 'Sunset': 24.0, 'Ascent': 17.0, 'Corrode': 62.0, 'Bind': 77.0, 'Icebox': 0.0, 'Abyss': 0.0}"
Cypher,33.0,"{'Lotus': 25.0, 'Haven': 48.0, 'Sunset': 68.0, 'Ascent': 30.0, 'Corrode': 35.0, 'Bind': 5.0, 'Icebox': 0.0, 'Abyss': 50.0}"
Raze,25.0,"{'Lotus': 70.0, 'Haven': 0.0, 'Sunset': 6.0, 'Ascent': 3.0, 'Corrode': 8.0, 'Bind': 82.0, 'Icebox': 0.0, 'Abyss': 0.0}"
Killjoy,25.0,"{'Lotus': 5.0, 'Haven': 48.0, 'Sunset': 0.0, 'Ascent': 37.0, 'Corrode': 0.0, 'Bind': 0.0, 'Icebox': 100.0, 'Abyss': 0.0}"
Vyse,22.0,"{'Lotus': 52.0, 'Haven': 5.0, 'Sunset': 0.0, 'Ascent': 33.0, 'Corrode': 23.0, 'Bind': 32.0, 'Icebox': 0.0, 'Abyss': 0.0}"
Jett,17.0,"{'Lotus': 0.0, 'Haven': 5.0, 'Sunset': 12.0, 'Ascent': 33.0, 'Corrode': 0.0, 'Bind': 0.0, 'Icebox': 86.0, 'Abyss': 100.0}"
Deadlock,16.0,"{'Lotus': 9.0, 'Haven': 8.0, 'Sunset': 41.0, 'Ascent': 10.0, 'Corrode': 19.0, 'Bind': 27.0, 'Icebox': 0.0, 'Abyss': 0.0}"
Kayo,12.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Sunset': 15.0, 'Ascent': 47.0, 'Corrode': 4.0, 'Bind': 23.0, 'Icebox': 5.0, 'Abyss': 0.0}"
Breach,10.0,"{'Lotus': 18.0, 'Haven': 20.0, 'Sunset': 18.0, 'Ascent': 0.0, 'Corrode': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Abyss': 50.0}"
Brimstone,8.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Corrode': 0.0, 'Bind': 82.0, 'Icebox': 0.0, 'Abyss': 0.0}"
Gekko,5.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Corrode': 19.0, 'Bind': 9.0, 'Icebox': 14.0, 'Abyss': 0.0}"
Waylay,4.0,"{'Lotus': 5.0, 'Haven': 3.0, 'Sunset': 0.0, 'Ascent': 7.0, 'Corrode': 8.0, 'Bind': 9.0, 'Icebox': 0.0, 'Abyss': 0.0}"
Clove,4.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Sunset': 6.0, 'Ascent': 13.0, 'Corrode': 12.0, 'Bind': 0.0, 'Icebox': 0.0, 'Abyss': 0.0}"
Chamber,4.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Sunset': 3.0, 'Ascent': 17.0, 'Corrode': 8.0, 'Bind': 0.0, 'Icebox': 0.0, 'Abyss': 0.0}"
Harbor,3.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Corrode': 0.0, 'Bind': 0.0, 'Icebox': 32.0, 'Abyss': 0.0}"
Astra,3.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Sunset': 0.0, 'Ascent': 3.0, 'Corrode': 8.0, 'Bind': 9.0, 'Icebox': 0.0, 'Abyss': 50.0}"
Iso,3.0,"{'Lotus': 0.0, 'Haven': 15.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Corrode': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Abyss': 0.0}"
Sage,2.0,"{'Lotus': 7.0, 'Haven': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Corrode': 0.0, 'Bind': 0.0, 'Icebox': 9.0, 'Abyss': 0.0}"
Skye,2.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Corrode': 0.0, 'Bind': 18.0, 'Icebox': 0.0, 'Abyss': 0.0}"
Phoenix,1.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Sunset': 3.0, 'Ascent': 7.0, 'Corrode': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Abyss': 0.0}"
Reyna,1.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Corrode': 0.0, 'Bind': 0.0, 'Icebox': 9.0, 'Abyss': 0.0}"
Tejo,0.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Corrode': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Abyss': 0.0}"
