agent_name,total_utilization,map_utilizations
Omen,74.0,"{'Lotus': 100.0, 'Corrode': 85.0, 'Haven': 100.0, 'Bind': 0.0, 'Icebox': 23.0, 'Ascent': 100.0, 'Sunset': 100.0}"
Viper,56.0,"{'Lotus': 66.0, 'Corrode': 68.0, 'Haven': 25.0, 'Bind': 68.0, 'Icebox': 100.0, 'Ascent': 17.0, 'Sunset': 46.0}"
Sova,51.0,"{'Lotus': 5.0, 'Corrode': 26.0, 'Haven': 84.0, 'Bind': 0.0, 'Icebox': 100.0, 'Ascent': 100.0, 'Sunset': 75.0}"
Fade,44.0,"{'Lotus': 95.0, 'Corrode': 74.0, 'Haven': 16.0, 'Bind': 64.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Sunset': 25.0}"
Yoru,36.0,"{'Lotus': 42.0, 'Corrode': 32.0, 'Haven': 69.0, 'Bind': 36.0, 'Icebox': 0.0, 'Ascent': 46.0, 'Sunset': 21.0}"
Neon,34.0,"{'Lotus': 21.0, 'Corrode': 53.0, 'Haven': 69.0, 'Bind': 0.0, 'Icebox': 4.0, 'Ascent': 25.0, 'Sunset': 63.0}"
Raze,29.0,"{'Lotus': 74.0, 'Corrode': 12.0, 'Haven': 0.0, 'Bind': 86.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Sunset': 13.0}"
Cypher,25.0,"{'Lotus': 5.0, 'Corrode': 15.0, 'Haven': 66.0, 'Bind': 4.0, 'Icebox': 0.0, 'Ascent': 29.0, 'Sunset': 63.0}"
Killjoy,23.0,"{'Lotus': 18.0, 'Corrode': 0.0, 'Haven': 19.0, 'Bind': 0.0, 'Icebox': 92.0, 'Ascent': 42.0, 'Sunset': 0.0}"
Deadlock,20.0,"{'Lotus': 11.0, 'Corrode': 32.0, 'Haven': 16.0, 'Bind': 43.0, 'Icebox': 0.0, 'Ascent': 17.0, 'Sunset': 25.0}"
Vyse,19.0,"{'Lotus': 50.0, 'Corrode': 21.0, 'Haven': 16.0, 'Bind': 11.0, 'Icebox': 0.0, 'Ascent': 25.0, 'Sunset': 0.0}"
Jett,14.0,"{'Lotus': 0.0, 'Corrode': 3.0, 'Haven': 0.0, 'Bind': 0.0, 'Icebox': 81.0, 'Ascent': 29.0, 'Sunset': 0.0}"
Sage,13.0,"{'Lotus': 0.0, 'Corrode': 18.0, 'Haven': 0.0, 'Bind': 0.0, 'Icebox': 65.0, 'Ascent': 4.0, 'Sunset': 13.0}"
Waylay,11.0,"{'Lotus': 5.0, 'Corrode': 15.0, 'Haven': 13.0, 'Bind': 11.0, 'Icebox': 0.0, 'Ascent': 8.0, 'Sunset': 25.0}"
Astra,9.0,"{'Lotus': 0.0, 'Corrode': 24.0, 'Haven': 0.0, 'Bind': 36.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Sunset': 0.0}"
Brimstone,9.0,"{'Lotus': 0.0, 'Corrode': 0.0, 'Haven': 0.0, 'Bind': 64.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Sunset': 0.0}"
Kayo,7.0,"{'Lotus': 0.0, 'Corrode': 3.0, 'Haven': 0.0, 'Bind': 21.0, 'Icebox': 4.0, 'Ascent': 29.0, 'Sunset': 0.0}"
Gekko,5.0,"{'Lotus': 0.0, 'Corrode': 0.0, 'Haven': 0.0, 'Bind': 39.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Sunset': 0.0}"
Chamber,5.0,"{'Lotus': 0.0, 'Corrode': 9.0, 'Haven': 0.0, 'Bind': 0.0, 'Icebox': 8.0, 'Ascent': 21.0, 'Sunset': 0.0}"
Breach,5.0,"{'Lotus': 5.0, 'Corrode': 0.0, 'Haven': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Sunset': 33.0}"
Iso,4.0,"{'Lotus': 0.0, 'Corrode': 9.0, 'Haven': 9.0, 'Bind': 0.0, 'Icebox': 8.0, 'Ascent': 0.0, 'Sunset': 0.0}"
Harbor,2.0,"{'Lotus': 0.0, 'Corrode': 0.0, 'Haven': 0.0, 'Bind': 0.0, 'Icebox': 15.0, 'Ascent': 0.0, 'Sunset': 0.0}"
Tejo,2.0,"{'Lotus': 3.0, 'Corrode': 0.0, 'Haven': 0.0, 'Bind': 4.0, 'Icebox': 0.0, 'Ascent': 8.0, 'Sunset': 0.0}"
Skye,2.0,"{'Lotus': 0.0, 'Corrode': 0.0, 'Haven': 0.0, 'Bind': 14.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Sunset': 0.0}"
Clove,0.0,"{'Lotus': 0.0, 'Corrode': 3.0, 'Haven': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Sunset': 0.0}"
Phoenix,0.0,"{'Lotus': 0.0, 'Corrode': 0.0, 'Haven': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Sunset': 0.0}"
Reyna,0.0,"{'Lotus': 0.0, 'Corrode': 0.0, 'Haven': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Sunset': 0.0}"
