agent_name,total_utilization,map_utilizations
Omen,82.0,"{'Lotus': 100.0, 'Icebox': 50.0, 'Sunset': 100.0, 'Split': 78.0, 'Ascent': 100.0, 'Haven': 100.0, 'Pearl': 0.0, 'Corrode': 50.0}"
Viper,63.0,"{'Lotus': 75.0, 'Icebox': 95.0, 'Sunset': 50.0, 'Split': 100.0, 'Ascent': 14.0, 'Haven': 42.0, 'Pearl': 0.0, 'Corrode': 0.0}"
Sova,53.0,"{'Lotus': 8.0, 'Icebox': 86.0, 'Sunset': 82.0, 'Split': 0.0, 'Ascent': 79.0, 'Haven': 83.0, 'Pearl': 33.0, 'Corrode': 50.0}"
Fade,40.0,"{'Lotus': 92.0, 'Icebox': 0.0, 'Sunset': 18.0, 'Split': 72.0, 'Ascent': 14.0, 'Haven': 17.0, 'Pearl': 67.0, 'Corrode': 50.0}"
Raze,33.0,"{'Lotus': 83.0, 'Icebox': 0.0, 'Sunset': 23.0, 'Split': 67.0, 'Ascent': 7.0, 'Haven': 0.0, 'Pearl': 33.0, 'Corrode': 0.0}"
Yoru,31.0,"{'Lotus': 25.0, 'Icebox': 0.0, 'Sunset': 5.0, 'Split': 61.0, 'Ascent': 50.0, 'Haven': 50.0, 'Pearl': 100.0, 'Corrode': 0.0}"
Killjoy,31.0,"{'Lotus': 38.0, 'Icebox': 91.0, 'Sunset': 0.0, 'Split': 0.0, 'Ascent': 14.0, 'Haven': 33.0, 'Pearl': 33.0, 'Corrode': 0.0}"
Cypher,31.0,"{'Lotus': 8.0, 'Icebox': 0.0, 'Sunset': 73.0, 'Split': 28.0, 'Ascent': 43.0, 'Haven': 50.0, 'Pearl': 17.0, 'Corrode': 50.0}"
Neon,25.0,"{'Lotus': 8.0, 'Icebox': 5.0, 'Sunset': 77.0, 'Split': 11.0, 'Ascent': 7.0, 'Haven': 50.0, 'Pearl': 17.0, 'Corrode': 0.0}"
Jett,19.0,"{'Lotus': 0.0, 'Icebox': 73.0, 'Sunset': 0.0, 'Split': 0.0, 'Ascent': 29.0, 'Haven': 8.0, 'Pearl': 17.0, 'Corrode': 50.0}"
Vyse,17.0,"{'Lotus': 42.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0, 'Ascent': 29.0, 'Haven': 17.0, 'Pearl': 50.0, 'Corrode': 50.0}"
Breach,13.0,"{'Lotus': 8.0, 'Icebox': 0.0, 'Sunset': 27.0, 'Split': 22.0, 'Ascent': 0.0, 'Haven': 25.0, 'Pearl': 17.0, 'Corrode': 0.0}"
Astra,9.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 22.0, 'Ascent': 0.0, 'Haven': 0.0, 'Pearl': 100.0, 'Corrode': 50.0}"
Kayo,9.0,"{'Lotus': 0.0, 'Icebox': 14.0, 'Sunset': 9.0, 'Split': 0.0, 'Ascent': 43.0, 'Haven': 0.0, 'Pearl': 0.0, 'Corrode': 0.0}"
Gekko,8.0,"{'Lotus': 0.0, 'Icebox': 32.0, 'Sunset': 5.0, 'Split': 0.0, 'Ascent': 7.0, 'Haven': 0.0, 'Pearl': 0.0, 'Corrode': 50.0}"
Sage,8.0,"{'Lotus': 0.0, 'Icebox': 23.0, 'Sunset': 14.0, 'Split': 0.0, 'Ascent': 0.0, 'Haven': 0.0, 'Pearl': 0.0, 'Corrode': 50.0}"
Deadlock,8.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 14.0, 'Split': 11.0, 'Ascent': 29.0, 'Haven': 0.0, 'Pearl': 0.0, 'Corrode': 0.0}"
Chamber,4.0,"{'Lotus': 0.0, 'Icebox': 5.0, 'Sunset': 0.0, 'Split': 0.0, 'Ascent': 21.0, 'Haven': 0.0, 'Pearl': 17.0, 'Corrode': 0.0}"
Tejo,4.0,"{'Lotus': 8.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 11.0, 'Ascent': 7.0, 'Haven': 0.0, 'Pearl': 0.0, 'Corrode': 0.0}"
Harbor,4.0,"{'Lotus': 0.0, 'Icebox': 23.0, 'Sunset': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Haven': 0.0, 'Pearl': 0.0, 'Corrode': 0.0}"
Iso,3.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 5.0, 'Split': 0.0, 'Ascent': 0.0, 'Haven': 17.0, 'Pearl': 0.0, 'Corrode': 0.0}"
Skye,3.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 17.0, 'Ascent': 0.0, 'Haven': 0.0, 'Pearl': 0.0, 'Corrode': 0.0}"
Waylay,2.0,"{'Lotus': 4.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0, 'Ascent': 7.0, 'Haven': 0.0, 'Pearl': 0.0, 'Corrode': 0.0}"
Phoenix,1.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Haven': 8.0, 'Pearl': 0.0, 'Corrode': 0.0}"
