agent_name,total_utilization,map_utilizations
Tejo,68.0,"{'Lotus': 83.0, 'Pearl': 67.0, 'Haven': 44.0, 'Icebox': 30.0, 'Split': 100.0, 'Ascent': 63.0, 'Fracture': 100.0}"
Omen,51.0,"{'Lotus': 86.0, 'Pearl': 0.0, 'Haven': 82.0, 'Icebox': 3.0, 'Split': 73.0, 'Ascent': 100.0, 'Fracture': 0.0}"
Breach,49.0,"{'Lotus': 81.0, 'Pearl': 0.0, 'Haven': 74.0, 'Icebox': 0.0, 'Split': 100.0, 'Ascent': 0.0, 'Fracture': 100.0}"
Yoru,36.0,"{'Lotus': 25.0, 'Pearl': 89.0, 'Haven': 32.0, 'Icebox': 3.0, 'Split': 47.0, 'Ascent': 29.0, 'Fracture': 0.0}"
Viper,35.0,"{'Lotus': 47.0, 'Pearl': 0.0, 'Haven': 0.0, 'Icebox': 100.0, 'Split': 83.0, 'Ascent': 0.0, 'Fracture': 0.0}"
Vyse,33.0,"{'Lotus': 33.0, 'Pearl': 75.0, 'Haven': 21.0, 'Icebox': 0.0, 'Split': 0.0, 'Ascent': 75.0, 'Fracture': 22.0}"
Jett,30.0,"{'Lotus': 0.0, 'Pearl': 31.0, 'Haven': 29.0, 'Icebox': 80.0, 'Split': 27.0, 'Ascent': 42.0, 'Fracture': 0.0}"
Sova,30.0,"{'Lotus': 3.0, 'Pearl': 28.0, 'Haven': 56.0, 'Icebox': 73.0, 'Split': 0.0, 'Ascent': 46.0, 'Fracture': 0.0}"
Cypher,25.0,"{'Lotus': 11.0, 'Pearl': 17.0, 'Haven': 79.0, 'Icebox': 0.0, 'Split': 3.0, 'Ascent': 21.0, 'Fracture': 56.0}"
Astra,24.0,"{'Lotus': 0.0, 'Pearl': 100.0, 'Haven': 18.0, 'Icebox': 0.0, 'Split': 27.0, 'Ascent': 0.0, 'Fracture': 0.0}"
Neon,20.0,"{'Lotus': 50.0, 'Pearl': 11.0, 'Haven': 32.0, 'Icebox': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Fracture': 50.0}"
Killjoy,17.0,"{'Lotus': 0.0, 'Pearl': 8.0, 'Haven': 0.0, 'Icebox': 100.0, 'Split': 0.0, 'Ascent': 4.0, 'Fracture': 6.0}"
Kayo,15.0,"{'Lotus': 0.0, 'Pearl': 14.0, 'Haven': 0.0, 'Icebox': 27.0, 'Split': 0.0, 'Ascent': 75.0, 'Fracture': 0.0}"
Fade,13.0,"{'Lotus': 28.0, 'Pearl': 50.0, 'Haven': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Fracture': 0.0}"
Raze,12.0,"{'Lotus': 25.0, 'Pearl': 0.0, 'Haven': 0.0, 'Icebox': 0.0, 'Split': 27.0, 'Ascent': 0.0, 'Fracture': 44.0}"
Brimstone,9.0,"{'Lotus': 0.0, 'Pearl': 0.0, 'Haven': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Fracture': 100.0}"
Harbor,7.0,"{'Lotus': 0.0, 'Pearl': 0.0, 'Haven': 0.0, 'Icebox': 50.0, 'Split': 0.0, 'Ascent': 0.0, 'Fracture': 0.0}"
Waylay,6.0,"{'Lotus': 0.0, 'Pearl': 6.0, 'Haven': 9.0, 'Icebox': 0.0, 'Split': 0.0, 'Ascent': 29.0, 'Fracture': 6.0}"
Iso,4.0,"{'Lotus': 3.0, 'Pearl': 0.0, 'Haven': 24.0, 'Icebox': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Fracture': 0.0}"
Gekko,4.0,"{'Lotus': 0.0, 'Pearl': 0.0, 'Haven': 0.0, 'Icebox': 27.0, 'Split': 0.0, 'Ascent': 0.0, 'Fracture': 0.0}"
Clove,4.0,"{'Lotus': 22.0, 'Pearl': 0.0, 'Haven': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Fracture': 0.0}"
Deadlock,2.0,"{'Lotus': 3.0, 'Pearl': 0.0, 'Haven': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Ascent': 17.0, 'Fracture': 0.0}"
Chamber,2.0,"{'Lotus': 0.0, 'Pearl': 6.0, 'Haven': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Fracture': 17.0}"
Sage,2.0,"{'Lotus': 0.0, 'Pearl': 0.0, 'Haven': 0.0, 'Icebox': 0.0, 'Split': 13.0, 'Ascent': 0.0, 'Fracture': 0.0}"
Reyna,1.0,"{'Lotus': 0.0, 'Pearl': 0.0, 'Haven': 0.0, 'Icebox': 7.0, 'Split': 0.0, 'Ascent': 0.0, 'Fracture': 0.0}"
Skye,0.0,"{'Lotus': 0.0, 'Pearl': 0.0, 'Haven': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Fracture': 0.0}"
Phoenix,0.0,"{'Lotus': 0.0, 'Pearl': 0.0, 'Haven': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Fracture': 0.0}"
