agent_name,total_utilization,map_utilizations
Tejo,71.0,"{'Fracture': 93.0, 'Lotus': 79.0, 'Pearl': 66.0, 'Icebox': 67.0, 'Haven': 61.0, 'Split': 65.0, 'Ascent': 50.0}"
Breach,53.0,"{'Fracture': 100.0, 'Lotus': 87.0, 'Pearl': 3.0, 'Icebox': 0.0, 'Haven': 71.0, 'Split': 58.0, 'Ascent': 13.0}"
Omen,49.0,"{'Fracture': 0.0, 'Lotus': 95.0, 'Pearl': 0.0, 'Icebox': 7.0, 'Haven': 100.0, 'Split': 81.0, 'Ascent': 100.0}"
Yoru,44.0,"{'Fracture': 13.0, 'Lotus': 47.0, 'Pearl': 88.0, 'Icebox': 0.0, 'Haven': 57.0, 'Split': 58.0, 'Ascent': 63.0}"
Viper,36.0,"{'Fracture': 0.0, 'Lotus': 61.0, 'Pearl': 3.0, 'Icebox': 100.0, 'Haven': 11.0, 'Split': 54.0, 'Ascent': 25.0}"
Cypher,32.0,"{'Fracture': 75.0, 'Lotus': 11.0, 'Pearl': 3.0, 'Icebox': 0.0, 'Haven': 82.0, 'Split': 27.0, 'Ascent': 13.0}"
Vyse,31.0,"{'Fracture': 23.0, 'Lotus': 24.0, 'Pearl': 75.0, 'Icebox': 17.0, 'Haven': 18.0, 'Split': 19.0, 'Ascent': 56.0}"
Neon,27.0,"{'Fracture': 58.0, 'Lotus': 29.0, 'Pearl': 31.0, 'Icebox': 0.0, 'Haven': 29.0, 'Split': 8.0, 'Ascent': 13.0}"
Astra,19.0,"{'Fracture': 0.0, 'Lotus': 8.0, 'Pearl': 100.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 19.0, 'Ascent': 0.0}"
Brimstone,19.0,"{'Fracture': 100.0, 'Lotus': 0.0, 'Pearl': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0}"
Killjoy,15.0,"{'Fracture': 3.0, 'Lotus': 0.0, 'Pearl': 22.0, 'Icebox': 67.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 25.0}"
Jett,15.0,"{'Fracture': 0.0, 'Lotus': 0.0, 'Pearl': 0.0, 'Icebox': 80.0, 'Haven': 14.0, 'Split': 0.0, 'Ascent': 25.0}"
Fade,14.0,"{'Fracture': 8.0, 'Lotus': 8.0, 'Pearl': 44.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 19.0, 'Ascent': 25.0}"
Sova,14.0,"{'Fracture': 0.0, 'Lotus': 5.0, 'Pearl': 22.0, 'Icebox': 17.0, 'Haven': 39.0, 'Split': 0.0, 'Ascent': 25.0}"
Deadlock,12.0,"{'Fracture': 0.0, 'Lotus': 18.0, 'Pearl': 6.0, 'Icebox': 17.0, 'Haven': 0.0, 'Split': 27.0, 'Ascent': 25.0}"
Raze,11.0,"{'Fracture': 20.0, 'Lotus': 16.0, 'Pearl': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 35.0, 'Ascent': 0.0}"
Kayo,9.0,"{'Fracture': 0.0, 'Lotus': 0.0, 'Pearl': 6.0, 'Icebox': 33.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 44.0}"
Gekko,9.0,"{'Fracture': 0.0, 'Lotus': 0.0, 'Pearl': 0.0, 'Icebox': 60.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0}"
Waylay,7.0,"{'Fracture': 10.0, 'Lotus': 8.0, 'Pearl': 0.0, 'Icebox': 13.0, 'Haven': 4.0, 'Split': 8.0, 'Ascent': 0.0}"
Chamber,5.0,"{'Fracture': 0.0, 'Lotus': 0.0, 'Pearl': 28.0, 'Icebox': 3.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0}"
Iso,4.0,"{'Fracture': 0.0, 'Lotus': 5.0, 'Pearl': 0.0, 'Icebox': 0.0, 'Haven': 14.0, 'Split': 8.0, 'Ascent': 0.0}"
Skye,2.0,"{'Fracture': 0.0, 'Lotus': 0.0, 'Pearl': 3.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 15.0, 'Ascent': 0.0}"
Harbor,2.0,"{'Fracture': 0.0, 'Lotus': 0.0, 'Pearl': 0.0, 'Icebox': 13.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0}"
Reyna,1.0,"{'Fracture': 0.0, 'Lotus': 0.0, 'Pearl': 0.0, 'Icebox': 7.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0}"
Clove,0.0,"{'Fracture': 0.0, 'Lotus': 0.0, 'Pearl': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0}"
Sage,0.0,"{'Fracture': 0.0, 'Lotus': 0.0, 'Pearl': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0}"
Phoenix,0.0,"{'Fracture': 0.0, 'Lotus': 0.0, 'Pearl': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0}"
