agent_name,total_utilization,map_utilizations
Omen,61.0,"{'Split': 68.0, 'Lotus': 100.0, 'Icebox': 22.0, 'Haven': 97.0, 'Ascent': 96.0, 'Fracture': 0.0, 'Pearl': 0.0}"
Tejo,51.0,"{'Split': 38.0, 'Lotus': 53.0, 'Icebox': 78.0, 'Haven': 20.0, 'Ascent': 46.0, 'Fracture': 75.0, 'Pearl': 50.0}"
Yoru,43.0,"{'Split': 73.0, 'Lotus': 34.0, 'Icebox': 0.0, 'Haven': 60.0, 'Ascent': 46.0, 'Fracture': 13.0, 'Pearl': 100.0}"
Cypher,43.0,"{'Split': 15.0, 'Lotus': 34.0, 'Icebox': 0.0, 'Haven': 100.0, 'Ascent': 63.0, 'Fracture': 88.0, 'Pearl': 21.0}"
Viper,39.0,"{'Split': 70.0, 'Lotus': 45.0, 'Icebox': 100.0, 'Haven': 0.0, 'Ascent': 0.0, 'Fracture': 0.0, 'Pearl': 0.0}"
Breach,32.0,"{'Split': 33.0, 'Lotus': 50.0, 'Icebox': 3.0, 'Haven': 33.0, 'Ascent': 0.0, 'Fracture': 96.0, 'Pearl': 0.0}"
Sova,28.0,"{'Split': 0.0, 'Lotus': 0.0, 'Icebox': 31.0, 'Haven': 80.0, 'Ascent': 58.0, 'Fracture': 0.0, 'Pearl': 64.0}"
Fade,28.0,"{'Split': 65.0, 'Lotus': 47.0, 'Icebox': 0.0, 'Haven': 0.0, 'Ascent': 17.0, 'Fracture': 17.0, 'Pearl': 36.0}"
Raze,21.0,"{'Split': 68.0, 'Lotus': 26.0, 'Icebox': 0.0, 'Haven': 0.0, 'Ascent': 4.0, 'Fracture': 21.0, 'Pearl': 0.0}"
Killjoy,21.0,"{'Split': 0.0, 'Lotus': 16.0, 'Icebox': 86.0, 'Haven': 0.0, 'Ascent': 13.0, 'Fracture': 0.0, 'Pearl': 21.0}"
Jett,19.0,"{'Split': 0.0, 'Lotus': 13.0, 'Icebox': 31.0, 'Haven': 20.0, 'Ascent': 58.0, 'Fracture': 13.0, 'Pearl': 7.0}"
Astra,18.0,"{'Split': 45.0, 'Lotus': 3.0, 'Icebox': 0.0, 'Haven': 3.0, 'Ascent': 4.0, 'Fracture': 13.0, 'Pearl': 100.0}"
Vyse,17.0,"{'Split': 13.0, 'Lotus': 32.0, 'Icebox': 6.0, 'Haven': 10.0, 'Ascent': 4.0, 'Fracture': 13.0, 'Pearl': 57.0}"
Kayo,16.0,"{'Split': 0.0, 'Lotus': 0.0, 'Icebox': 50.0, 'Haven': 0.0, 'Ascent': 50.0, 'Fracture': 8.0, 'Pearl': 0.0}"
Neon,15.0,"{'Split': 0.0, 'Lotus': 13.0, 'Icebox': 17.0, 'Haven': 20.0, 'Ascent': 0.0, 'Fracture': 54.0, 'Pearl': 0.0}"
Brimstone,10.0,"{'Split': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Ascent': 0.0, 'Fracture': 88.0, 'Pearl': 0.0}"
Iso,8.0,"{'Split': 5.0, 'Lotus': 0.0, 'Icebox': 6.0, 'Haven': 43.0, 'Ascent': 0.0, 'Fracture': 0.0, 'Pearl': 0.0}"
Deadlock,8.0,"{'Split': 3.0, 'Lotus': 11.0, 'Icebox': 3.0, 'Haven': 7.0, 'Ascent': 38.0, 'Fracture': 0.0, 'Pearl': 0.0}"
Gekko,7.0,"{'Split': 0.0, 'Lotus': 0.0, 'Icebox': 39.0, 'Haven': 0.0, 'Ascent': 0.0, 'Fracture': 0.0, 'Pearl': 0.0}"
Waylay,6.0,"{'Split': 0.0, 'Lotus': 13.0, 'Icebox': 17.0, 'Haven': 0.0, 'Ascent': 4.0, 'Fracture': 4.0, 'Pearl': 0.0}"
Chamber,3.0,"{'Split': 3.0, 'Lotus': 3.0, 'Icebox': 3.0, 'Haven': 3.0, 'Ascent': 0.0, 'Fracture': 0.0, 'Pearl': 21.0}"
Harbor,3.0,"{'Split': 0.0, 'Lotus': 8.0, 'Icebox': 0.0, 'Haven': 0.0, 'Ascent': 0.0, 'Fracture': 0.0, 'Pearl': 21.0}"
Sage,2.0,"{'Split': 3.0, 'Lotus': 0.0, 'Icebox': 8.0, 'Haven': 0.0, 'Ascent': 0.0, 'Fracture': 0.0, 'Pearl': 0.0}"
Phoenix,0.0,"{'Split': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Haven': 3.0, 'Ascent': 0.0, 'Fracture': 0.0, 'Pearl': 0.0}"
Skye,0.0,"{'Split': 3.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Ascent': 0.0, 'Fracture': 0.0, 'Pearl': 0.0}"
Clove,0.0,"{'Split': 0.0, 'Lotus': 0.0, 'Icebox': 3.0, 'Haven': 0.0, 'Ascent': 0.0, 'Fracture': 0.0, 'Pearl': 0.0}"
Reyna,0.0,"{'Split': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Ascent': 0.0, 'Fracture': 0.0, 'Pearl': 0.0}"
