agent_name,total_utilization,map_utilizations
Tejo,62.0,"{'Lotus': 48.0, 'Haven': 47.0, 'Ascent': 78.0, 'Icebox': 68.0, 'Fracture': 88.0, 'Pearl': 50.0, 'Split': 63.0}"
Omen,61.0,"{'Lotus': 100.0, 'Haven': 97.0, 'Ascent': 88.0, 'Icebox': 11.0, 'Fracture': 0.0, 'Pearl': 0.0, 'Split': 88.0}"
Yoru,39.0,"{'Lotus': 42.0, 'Haven': 56.0, 'Ascent': 44.0, 'Icebox': 14.0, 'Fracture': 0.0, 'Pearl': 54.0, 'Split': 58.0}"
Viper,38.0,"{'Lotus': 58.0, 'Haven': 16.0, 'Ascent': 0.0, 'Icebox': 100.0, 'Fracture': 0.0, 'Pearl': 0.0, 'Split': 88.0}"
Breach,30.0,"{'Lotus': 46.0, 'Haven': 28.0, 'Ascent': 0.0, 'Icebox': 0.0, 'Fracture': 100.0, 'Pearl': 0.0, 'Split': 29.0}"
Vyse,29.0,"{'Lotus': 40.0, 'Haven': 0.0, 'Ascent': 44.0, 'Icebox': 4.0, 'Fracture': 38.0, 'Pearl': 75.0, 'Split': 0.0}"
Cypher,29.0,"{'Lotus': 19.0, 'Haven': 84.0, 'Ascent': 31.0, 'Icebox': 0.0, 'Fracture': 38.0, 'Pearl': 8.0, 'Split': 13.0}"
Sova,26.0,"{'Lotus': 6.0, 'Haven': 56.0, 'Ascent': 47.0, 'Icebox': 39.0, 'Fracture': 0.0, 'Pearl': 33.0, 'Split': 0.0}"
Neon,25.0,"{'Lotus': 17.0, 'Haven': 38.0, 'Ascent': 0.0, 'Icebox': 0.0, 'Fracture': 81.0, 'Pearl': 38.0, 'Split': 17.0}"
Killjoy,25.0,"{'Lotus': 4.0, 'Haven': 16.0, 'Ascent': 16.0, 'Icebox': 79.0, 'Fracture': 23.0, 'Pearl': 54.0, 'Split': 0.0}"
Jett,22.0,"{'Lotus': 0.0, 'Haven': 13.0, 'Ascent': 56.0, 'Icebox': 64.0, 'Fracture': 0.0, 'Pearl': 21.0, 'Split': 8.0}"
Fade,20.0,"{'Lotus': 46.0, 'Haven': 0.0, 'Ascent': 22.0, 'Icebox': 0.0, 'Fracture': 0.0, 'Pearl': 21.0, 'Split': 33.0}"
Raze,17.0,"{'Lotus': 46.0, 'Haven': 0.0, 'Ascent': 0.0, 'Icebox': 0.0, 'Fracture': 19.0, 'Pearl': 0.0, 'Split': 42.0}"
Kayo,16.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Ascent': 41.0, 'Icebox': 64.0, 'Fracture': 0.0, 'Pearl': 17.0, 'Split': 0.0}"
Astra,15.0,"{'Lotus': 0.0, 'Haven': 3.0, 'Ascent': 13.0, 'Icebox': 0.0, 'Fracture': 0.0, 'Pearl': 100.0, 'Split': 13.0}"
Brimstone,12.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Ascent': 0.0, 'Icebox': 0.0, 'Fracture': 100.0, 'Pearl': 0.0, 'Split': 0.0}"
Iso,10.0,"{'Lotus': 15.0, 'Haven': 38.0, 'Ascent': 0.0, 'Icebox': 7.0, 'Fracture': 0.0, 'Pearl': 0.0, 'Split': 0.0}"
Deadlock,8.0,"{'Lotus': 4.0, 'Haven': 9.0, 'Ascent': 9.0, 'Icebox': 0.0, 'Fracture': 0.0, 'Pearl': 0.0, 'Split': 38.0}"
Waylay,6.0,"{'Lotus': 10.0, 'Haven': 0.0, 'Ascent': 3.0, 'Icebox': 7.0, 'Fracture': 12.0, 'Pearl': 0.0, 'Split': 8.0}"
Chamber,4.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Ascent': 0.0, 'Icebox': 14.0, 'Fracture': 0.0, 'Pearl': 17.0, 'Split': 0.0}"
Phoenix,2.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Ascent': 6.0, 'Icebox': 0.0, 'Fracture': 0.0, 'Pearl': 13.0, 'Split': 0.0}"
Harbor,2.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Ascent': 3.0, 'Icebox': 11.0, 'Fracture': 0.0, 'Pearl': 0.0, 'Split': 0.0}"
Reyna,2.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Ascent': 0.0, 'Icebox': 14.0, 'Fracture': 0.0, 'Pearl': 0.0, 'Split': 0.0}"
Gekko,0.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Ascent': 0.0, 'Icebox': 4.0, 'Fracture': 0.0, 'Pearl': 0.0, 'Split': 0.0}"
Skye,0.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Ascent': 0.0, 'Icebox': 0.0, 'Fracture': 0.0, 'Pearl': 0.0, 'Split': 4.0}"
Sage,0.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Ascent': 0.0, 'Icebox': 0.0, 'Fracture': 0.0, 'Pearl': 0.0, 'Split': 0.0}"
Clove,0.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Ascent': 0.0, 'Icebox': 0.0, 'Fracture': 0.0, 'Pearl': 0.0, 'Split': 0.0}"
